

TIME =   1.000e+00

Nodal Displacements

 Node          U1          U2          U3
    1   0.000e+00   0.000e+00   0.000e+00
    2   0.000e+00   0.000e+00   0.000e+00
    3   0.000e+00   0.000e+00   0.000e+00
    4   0.000e+00   0.000e+00   0.000e+00
    5   7.737e-06   1.663e-04   7.798e-05
    6  -7.737e-06   1.663e-04   7.798e-05
    7   7.713e-06   1.663e-04  -7.796e-05
    8  -7.713e-06   1.663e-04  -7.796e-05
    9   3.951e-06   6.145e-04   1.409e-04
   10  -3.951e-06   6.145e-04   1.409e-04
   11   4.067e-06   6.145e-04  -1.409e-04
   12  -4.067e-06   6.145e-04  -1.409e-04
   13   3.441e-06   1.277e-03   1.855e-04
   14  -3.441e-06   1.277e-03   1.855e-04
   15   2.900e-06   1.277e-03  -1.852e-04
   16  -2.900e-06   1.277e-03  -1.852e-04
   17   6.152e-07   1.675e-03   2.014e-04
   18  -6.152e-07   1.675e-03   2.014e-04
   19   1.003e-06   2.081e-03  -2.063e-04
   20  -1.003e-06   2.081e-03  -2.063e-04
   21   1.008e-07   2.905e-03   2.058e-04
   22  -1.008e-07   2.905e-03   2.058e-04
   23  -3.555e-07   2.907e-03  -2.058e-04
   24   3.555e-07   2.907e-03  -2.058e-04

Element Stress

        S11        S22        S33        S12        S23        S13
 -2.090e+06  -2.379e+06  -5.842e+06   1.450e+05   3.863e+06   9.877e+04
 -7.071e+05  -1.786e+06  -5.249e+06   5.411e+05  -3.063e+06   9.877e+04
 -6.145e+04   1.171e+06   3.963e+06  -6.164e+05   3.195e+06  -4.919e+04
  6.253e+05   1.461e+06   4.256e+06  -4.258e+05  -2.395e+06  -4.919e+04
  6.082e+04  -1.173e+06  -3.970e+06  -6.164e+05   3.195e+06   4.609e+04
 -5.863e+05  -1.454e+06  -4.249e+06  -4.258e+05  -2.395e+06   4.609e+04
 -6.145e+04   1.171e+06   3.963e+06   6.164e+05   3.195e+06   4.919e+04
  6.253e+05   1.461e+06   4.256e+06   4.258e+05  -2.395e+06   4.919e+04
  6.082e+04  -1.173e+06  -3.970e+06   6.164e+05   3.195e+06  -4.609e+04
 -5.863e+05  -1.454e+06  -4.249e+06   4.258e+05  -2.395e+06  -4.609e+04
  2.930e+05   9.757e+05   2.966e+06  -3.404e+05   2.374e+06  -3.467e+03
  3.450e+05   1.005e+06   2.990e+06  -2.974e+05  -1.576e+06  -3.467e+03
 -2.871e+05  -9.659e+05  -2.926e+06  -3.404e+05   2.376e+06   1.803e+04
 -5.361e+05  -1.066e+06  -3.030e+06  -2.974e+05  -1.574e+06   1.803e+04
  2.930e+05   9.757e+05   2.966e+06   3.404e+05   2.374e+06   3.467e+03
  3.450e+05   1.005e+06   2.990e+06   2.974e+05  -1.576e+06   3.467e+03
 -2.871e+05  -9.659e+05  -2.926e+06   3.404e+05   2.376e+06  -1.803e+04
 -5.361e+05  -1.066e+06  -3.030e+06   2.974e+05  -1.574e+06  -1.803e+04
  5.485e+03   7.516e+05   1.553e+06  -2.231e+05   1.495e+06  -6.700e+04
  1.012e+06   2.017e+06   2.234e+06  -6.335e+04  -4.373e+05  -6.700e+04
 -5.973e+03  -2.781e+05  -1.569e+06  -2.420e+05   1.887e+06   2.233e+04
  1.113e+04   2.943e+05  -1.392e+06  -1.338e+05   5.781e+05   2.233e+04
  5.485e+03   7.516e+05   1.553e+06   2.231e+05   1.495e+06   6.700e+04
  1.012e+06   2.017e+06   2.234e+06   6.335e+04  -4.373e+05   6.700e+04
 -5.973e+03  -2.781e+05  -1.569e+06   2.420e+05   1.887e+06  -2.233e+04
  1.113e+04   2.943e+05  -1.392e+06   1.338e+05   5.781e+05  -2.233e+04
Element     5
  2.089e+06   2.380e+06   5.843e+06  -1.450e+05   3.863e+06   9.930e+04
  6.990e+05   1.785e+06   5.248e+06  -5.411e+05  -3.063e+06   9.930e+04
 -2.090e+06  -2.379e+06  -5.842e+06  -1.450e+05   3.863e+06  -9.877e+04
 -7.071e+05  -1.786e+06  -5.249e+06  -5.411e+05  -3.063e+06  -9.877e+04
  2.089e+06   2.380e+06   5.843e+06   1.450e+05   3.863e+06  -9.930e+04
  6.990e+05   1.785e+06   5.248e+06   5.411e+05  -3.063e+06  -9.930e+04
 -2.090e+06  -2.379e+06  -5.842e+06   1.450e+05   3.863e+06   9.877e+04
 -7.071e+05  -1.786e+06  -5.249e+06   5.411e+05  -3.063e+06   9.877e+04
 -6.145e+04   1.171e+06   3.963e+06  -6.164e+05   3.195e+06  -4.919e+04
  6.253e+05   1.461e+06   4.256e+06  -4.258e+05  -2.395e+06  -4.919e+04
  6.082e+04  -1.173e+06  -3.970e+06  -6.164e+05   3.195e+06   4.609e+04
 -5.863e+05  -1.454e+06  -4.249e+06  -4.258e+05  -2.395e+06   4.609e+04
 -6.145e+04   1.171e+06   3.963e+06   6.164e+05   3.195e+06   4.919e+04
  6.253e+05   1.461e+06   4.256e+06   4.258e+05  -2.395e+06   4.919e+04
  6.082e+04  -1.173e+06  -3.970e+06   6.164e+05   3.195e+06  -4.609e+04
 -5.863e+05  -1.454e+06  -4.249e+06   4.258e+05  -2.395e+06  -4.609e+04
  2.930e+05   9.757e+05   2.966e+06  -3.404e+05   2.374e+06  -3.467e+03
  3.450e+05   1.005e+06   2.990e+06  -2.974e+05  -1.576e+06  -3.467e+03
 -2.871e+05  -9.659e+05  -2.926e+06  -3.404e+05   2.376e+06   1.803e+04
 -5.361e+05  -1.066e+06  -3.030e+06  -2.974e+05  -1.574e+06   1.803e+04
  2.930e+05   9.757e+05   2.966e+06   3.404e+05   2.374e+06   3.467e+03
  3.450e+05   1.005e+06   2.990e+06   2.974e+05  -1.576e+06   3.467e+03
 -2.871e+05  -9.659e+05  -2.926e+06   3.404e+05   2.376e+06  -1.803e+04
 -5.361e+05  -1.066e+06  -3.030e+06   2.974e+05  -1.574e+06  -1.803e+04
  5.485e+03   7.516e+05   1.553e+06  -2.231e+05   1.495e+06  -6.700e+04
  1.012e+06   2.017e+06   2.234e+06  -6.335e+04  -4.373e+05  -6.700e+04
 -5.973e+03  -2.781e+05  -1.569e+06  -2.420e+05   1.887e+06   2.233e+04
  1.113e+04   2.943e+05  -1.392e+06  -1.338e+05   5.781e+05   2.233e+04
  5.485e+03   7.516e+05   1.553e+06   2.231e+05   1.495e+06   6.700e+04
  1.012e+06   2.017e+06   2.234e+06   6.335e+04  -4.373e+05   6.700e+04
 -5.973e+03  -2.781e+05  -1.569e+06   2.420e+05   1.887e+06  -2.233e+04
  1.113e+04   2.943e+05  -1.392e+06   1.338e+05   5.781e+05  -2.233e+04
 -3.349e+05  -7.275e+05  -5.796e+04  -5.280e+04   6.422e+04  -1.888e+03
  1.164e+05   2.553e+05   3.723e+05  -5.867e+03  -5.716e+04  -1.888e+03
 -1.850e+05  -9.919e+05  -2.350e+05  -6.954e+04   2.324e+05   1.934e+04
  3.830e+04   9.931e+04   1.594e+05  -1.035e+04   7.938e+04   1.934e+04
 -3.349e+05  -7.275e+05  -5.796e+04   5.280e+04   6.422e+04   1.888e+03
  1.164e+05   2.553e+05   3.723e+05   5.867e+03  -5.716e+04   1.888e+03
 -1.850e+05  -9.919e+05  -2.350e+05   6.954e+04   2.324e+05  -1.934e+04
  3.830e+04   9.931e+04   1.594e+05   1.035e+04   7.938e+04  -1.934e+04


 *** Successful end of program ***
